Reporting country,Reference period,Item code,Item name,IORP type,Value,Date of extraction (yyyymmdd)
DE,2020,R0009,Active members reported by exempted IORPs,no split available,,20250716
DE,2020,R0010,Active members reported by non-exempted IORPs,no split available,5811793.0,20250716
DE,2020,R0018,Deferred members,no split available,3517684.0,20250716
DE,2020,R0019,Deferred members reported by exempted IORPs,no split available,,20250716
DE,2020,R0020,Deferred members reported by non-exempted IORPs,no split available,3517684.0,20250716
DE,2020,R0028,Beneficiaries,no split available,1784248.0,20250716
DE,2020,R0029,Beneficiaries reported by exempted IORPs,no split available,,20250716
DE,2020,R0030,Beneficiaries reported by non-exempted IORPs,no split available,1784248.0,20250716
DE,2020,R0040,New members,no split available,447624.0,20250716
DE,2020,R0050,Deaths,no split available,28326.0,20250716
DE,2020,R0060,Commutations,no split available,60313.0,20250716
DE,2020,R0070,Other exits,no split available,200248.0,20250716
DE,2020,R0080,New beneficiaries,no split available,142163.0,20250716
DE,2020,R0090,of which new retired members,no split available,109196.0,20250716
DE,2021,R0008,Active members,no split available,5842160.0,20250716
DE,2021,R0009,Active members reported by exempted IORPs,no split available,,20250716
DE,2021,R0010,Active members reported by non-exempted IORPs,no split available,5842160.0,20250716
DE,2021,R0018,Deferred members,no split available,3795654.0,20250716
DE,2021,R0019,Deferred members reported by exempted IORPs,no split available,,20250716
DE,2021,R0020,Deferred members reported by non-exempted IORPs,no split available,3795654.0,20250716
DE,2021,R0028,Beneficiaries,no split available,1905085.0,20250716
DE,2021,R0029,Beneficiaries reported by exempted IORPs,no split available,,20250716
DE,2021,R0030,Beneficiaries reported by non-exempted IORPs,no split available,1905085.0,20250716
DE,2021,R0040,New members,no split available,435529.0,20250716
DE,2021,R0050,Deaths,no split available,29029.0,20250716
DE,2021,R0060,Commutations,no split available,63281.0,20250716
DE,2021,R0070,Other exits,no split available,199373.0,20250716
DE,2021,R0080,New beneficiaries,no split available,151999.0,20250716
DE,2021,R0090,of which new retired members,no split available,113821.0,20250716
DE,2022,R0008,Active members,no split available,5582063.0,20250716
DE,2022,R0009,Active members reported by exempted IORPs,no split available,,20250716
DE,2022,R0010,Active members reported by non-exempted IORPs,no split available,5582063.0,20250716
DE,2022,R0018,Deferred members,no split available,4040562.0,20250716
DE,2022,R0019,Deferred members reported by exempted IORPs,no split available,,20250716
DE,2022,R0020,Deferred members reported by non-exempted IORPs,no split available,4040562.0,20250716
DE,2022,R0028,Beneficiaries,no split available,1868061.0,20250716
DE,2022,R0029,Beneficiaries reported by exempted IORPs,no split available,,20250716
DE,2022,R0030,Beneficiaries reported by non-exempted IORPs,no split available,1868061.0,20250716
DE,2022,R0040,New members,no split available,462812.0,20250716
DE,2022,R0050,Deaths,no split available,26626.0,20250716
DE,2022,R0060,Commutations,no split available,71829.0,20250716
DE,2022,R0070,Other exits,no split available,216544.0,20250716
DE,2022,R0080,New beneficiaries,no split available,150947.0,20250716
DE,2022,R0090,of which new retired members,no split available,117238.0,20250716
DE,2023,R0008,Active members,no split available,5461244.0,20250716
DE,2023,R0009,Active members reported by exempted IORPs,no split available,,20250716
DE,2023,R0010,Active members reported by non-exempted IORPs,no split available,5461244.0,20250716
DE,2023,R0018,Deferred members,no split available,4290429.0,20250716
DE,2023,R0019,Deferred members reported by exempted IORPs,no split available,,20250716
DE,2023,R0020,Deferred members reported by non-exempted IORPs,no split available,4290429.0,20250716
DE,2023,R0028,Beneficiaries,no split available,1863031.0,20250716
DE,2023,R0029,Beneficiaries reported by exempted IORPs,no split available,,20250716
DE,2023,R0030,Beneficiaries reported by non-exempted IORPs,no split available,1863031.0,20250716
DE,2023,R0040,New members,no split available,488857.0,20250716
DE,2023,R0050,Deaths,no split available,27211.0,20250716
DE,2023,R0060,Commutations,no split available,69731.0,20250716
DE,2023,R0070,Other exits,no split available,224444.0,20250716
DE,2023,R0080,New beneficiaries,no split available,153702.0,20250716
DE,2023,R0090,of which new retired members,no split available,121860.0,20250716
DE,2024,R0008,Active members,no split available,5425502.0,20250716
DE,2024,R0009,Active members reported by exempted IORPs,no split available,,20250716
DE,2024,R0010,Active members reported by non-exempted IORPs,no split available,5425502.0,20250716
DE,2024,R0018,Deferred members,no split available,4522307.0,20250716
DE,2024,R0019,Deferred members reported by exempted IORPs,no split available,,20250716
DE,2024,R0020,Deferred members reported by non-exempted IORPs,no split available,4522307.0,20250716
DE,2024,R0028,Beneficiaries,no split available,1865800.0,20250716
DE,2024,R0029,Beneficiaries reported by exempted IORPs,no split available,,20250716
DE,2024,R0030,Beneficiaries reported by non-exempted IORPs,no split available,1865800.0,20250716
DE,2024,R0040,New members,no split available,404474.0,20250716
DE,2024,R0050,Deaths,no split available,27501.0,20250716
DE,2024,R0060,Commutations,no split available,72359.0,20250716
DE,2024,R0070,Other exits,no split available,234999.0,20250716
DE,2024,R0080,New beneficiaries,no split available,154962.0,20250716
DE,2024,R0090,of which new retired members,no split available,129120.0,20250716
DK,2020,R0008,Active members,no split available,1172.0,20250716
DK,2020,R0009,Active members reported by exempted IORPs,no split available,179.0,20250716
DK,2020,R0010,Active members reported by non-exempted IORPs,no split available,993.0,20250716
DK,2020,R0018,Deferred members,no split available,1394.0,20250716
DK,2020,R0019,Deferred members reported by exempted IORPs,no split available,46.0,20250716
DK,2020,R0020,Deferred members reported by non-exempted IORPs,no split available,1348.0,20250716
DK,2020,R0028,Beneficiaries,no split available,9363.0,20250716
DK,2020,R0029,Beneficiaries reported by exempted IORPs,no split available,666.0,20250716
DK,2020,R0030,Beneficiaries reported by non-exempted IORPs,no split available,8697.0,20250716
DK,2020,R0040,New members,no split available,0.0,20250716
DK,2020,R0050,Deaths,no split available,63.0,20250716
DK,2020,R0060,Commutations,no split available,1.0,20250716
DK,2020,R0070,Other exits,no split available,28.0,20250716
DK,2020,R0080,New beneficiaries,no split available,316.0,20250716
DK,2020,R0090,of which new retired members,no split available,195.0,20250716
DK,2021,R0008,Active members,DB,988.0,20250716
DK,2021,R0008,Active members,DC,0.0,20250716
DK,2021,R0009,Active members reported by exempted IORPs,DB,173.0,20250716
DK,2021,R0009,Active members reported by exempted IORPs,DC,0.0,20250716
DK,2021,R0010,Active members reported by non-exempted IORPs,DB,815.0,20250716
DK,2021,R0010,Active members reported by non-exempted IORPs,DC,0.0,20250716
DK,2021,R0018,Deferred members,DB,557.0,20250716
DK,2021,R0018,Deferred members,DC,0.0,20250716
DK,2021,R0019,Deferred members reported by exempted IORPs,DB,28.0,20250716
DK,2021,R0019,Deferred members reported by exempted IORPs,DC,0.0,20250716
DK,2021,R0020,Deferred members reported by non-exempted IORPs,DB,529.0,20250716
DK,2021,R0020,Deferred members reported by non-exempted IORPs,DC,0.0,20250716
DK,2021,R0028,Beneficiaries,DB,9107.0,20250716
DK,2021,R0028,Beneficiaries,DC,0.0,20250716
DK,2021,R0029,Beneficiaries reported by exempted IORPs,DB,624.0,20250716
DK,2021,R0029,Beneficiaries reported by exempted IORPs,DC,0.0,20250716
DK,2021,R0030,Beneficiaries reported by non-exempted IORPs,DB,8483.0,20250716
DK,2021,R0030,Beneficiaries reported by non-exempted IORPs,DC,0.0,20250716
DK,2021,R0040,New members,DB,0.0,20250716
DK,2021,R0040,New members,DC,0.0,20250716
DK,2021,R0050,Deaths,DB,62.0,20250716
DK,2021,R0050,Deaths,DC,0.0,20250716
DK,2021,R0060,Commutations,DB,1.0,20250716
DK,2021,R0060,Commutations,DC,0.0,20250716
DK,2021,R0070,Other exits,DB,1.0,20250716
DK,2021,R0070,Other exits,DC,0.0,20250716
DK,2021,R0080,New beneficiaries,DB,336.0,20250716
DK,2021,R0080,New beneficiaries,DC,0.0,20250716
DK,2021,R0090,of which new retired members,DB,223.0,20250716
DK,2021,R0090,of which new retired members,DC,0.0,20250716
DK,2022,R0008,Active members,no split available,919.0,20250716
DK,2022,R0009,Active members reported by exempted IORPs,no split available,196.0,20250716
DK,2022,R0010,Active members reported by non-exempted IORPs,no split available,723.0,20250716
DK,2022,R0018,Deferred members,no split available,1248.0,20250716
DK,2022,R0019,Deferred members reported by exempted IORPs,no split available,24.0,20250716
DK,2022,R0020,Deferred members reported by non-exempted IORPs,no split available,1224.0,20250716
