Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
LU,2024,R0030,Tax expenses,DC,0.024652,20250716
LU,2024,R0040,Other expenses,DB,1.022623,20250716
LU,2024,R0040,Other expenses,DC,0.305172,20250716
LU,2024,R0050,Total expenses,DB,4.548267,20250716
LU,2024,R0050,Total expenses,DC,1.734814,20250716
LV,2020,R0010,Administrative expenses,DC,1.148572,20250716
LV,2020,R0020,Investment expenses,DC,1.050539,20250716
LV,2020,R0030,Tax expenses,DC,0.0,20250716
LV,2020,R0040,Other expenses,DC,0.052288,20250716
LV,2020,R0050,Total expenses,DC,2.251399,20250716
LV,2021,R0010,Administrative expenses,DC,1.159644,20250716
LV,2021,R0020,Investment expenses,DC,1.192483,20250716
LV,2021,R0030,Tax expenses,DC,0.0,20250716
LV,2021,R0040,Other expenses,DC,0.106406,20250716
LV,2021,R0050,Total expenses,DC,2.458533,20250716
LV,2022,R0010,Administrative expenses,DC,1.063773,20250716
LV,2022,R0020,Investment expenses,DC,1.135255,20250716
LV,2022,R0030,Tax expenses,DC,0.0,20250716
LV,2022,R0040,Other expenses,DC,0.027827,20250716
LV,2022,R0050,Total expenses,DC,2.226856,20250716
LV,2023,R0010,Administrative expenses,DC,0.843392,20250716
LV,2023,R0020,Investment expenses,DC,1.151971,20250716
LV,2023,R0030,Tax expenses,DC,0.0,20250716
LV,2023,R0040,Other expenses,DC,2e-06,20250716
LV,2023,R0050,Total expenses,DC,1.995364,20250716
LV,2024,R0010,Administrative expenses,DC,0.928224,20250716
LV,2024,R0020,Investment expenses,DC,1.380417,20250716
LV,2024,R0030,Tax expenses,DC,0.0,20250716
LV,2024,R0040,Other expenses,DC,0.0,20250716
LV,2024,R0050,Total expenses,DC,2.308641,20250716
MT,2020,R0010,Administrative expenses,DB,0.0,20250716
MT,2020,R0010,Administrative expenses,DC,0.359801,20250716
MT,2020,R0020,Investment expenses,DB,0.0,20250716
MT,2020,R0020,Investment expenses,DC,0.185838,20250716
MT,2020,R0030,Tax expenses,DB,0.0,20250716
MT,2020,R0030,Tax expenses,DC,0.0,20250716
MT,2020,R0040,Other expenses,DB,0.0,20250716
MT,2020,R0040,Other expenses,DC,0.213512,20250716
MT,2020,R0050,Total expenses,DB,0.0,20250716
MT,2020,R0050,Total expenses,DC,0.759151,20250716
MT,2021,R0010,Administrative expenses,DB,0.0,20250716
MT,2021,R0010,Administrative expenses,DC,0.218454,20250716
MT,2021,R0020,Investment expenses,DB,0.0,20250716
MT,2021,R0020,Investment expenses,DC,0.373786,20250716
MT,2021,R0030,Tax expenses,DB,0.0,20250716
MT,2021,R0030,Tax expenses,DC,0.0,20250716
MT,2021,R0040,Other expenses,DB,0.0,20250716
MT,2021,R0040,Other expenses,DC,0.273587,20250716
MT,2021,R0050,Total expenses,DB,0.0,20250716
MT,2021,R0050,Total expenses,DC,0.865827,20250716
MT,2022,R0010,Administrative expenses,DB,0.0,20250716
MT,2022,R0010,Administrative expenses,DC,0.636509,20250716
MT,2022,R0020,Investment expenses,DB,0.0,20250716
MT,2022,R0020,Investment expenses,DC,0.058505,20250716
MT,2022,R0030,Tax expenses,DB,0.0,20250716
MT,2022,R0030,Tax expenses,DC,0.0,20250716
MT,2022,R0040,Other expenses,DB,0.0,20250716
MT,2022,R0040,Other expenses,DC,0.510245,20250716
MT,2022,R0050,Total expenses,DB,0.0,20250716
MT,2022,R0050,Total expenses,DC,1.205259,20250716
MT,2023,R0010,Administrative expenses,DB,0.0,20250716
MT,2023,R0010,Administrative expenses,DC,0.894229,20250716
